job_title,seniority_level,status,company,location,post_date,headquarter,industry,ownership,company_size,revenue,salary,skills
Cientista de Dados,Sênior,Híbrido,company_003,"Grapevine, TX . Hybrid",17 days ago,"Bentonville, AR, US",Varejo,Pública,€352.44B,Public,"€100,472 - €200,938","['spark', 'r', 'python', 'scala', 'machine learning', 'tensorflow']"
Cientista de Dados,Líder,Híbrido,company_005,"Fort Worth, TX . Hybrid",15 days ago,"Detroit, MI, US",Manufatura,Pública,"155,030",€51.10B,"€118,733","['spark', 'r', 'python', 'sql', 'machine learning']"
Cientista de Dados,Sênior,Presencial,company_007,"Austin, TX . Toronto, Ontario, Canada . Kirkland, WA . Orlando, FL . Edmonton, Alberta, Canada + 1 More",a month ago,"Redwood City, CA, US",Tecnologia,Pública,"25,930",€33.80B,"€94,987 - €159,559","['aws', 'git', 'python', 'docker', 'sql', 'machine learning', 'gcp', 'kubernetes', 'deep learning']"
Cientista de Dados,Sênior,Híbrido,company_008,"Chicago, IL . Scottsdale, AZ . Austin, TX . Hybrid",8 days ago,"San Jose, CA, US",Tecnologia,Pública,"34,690",€81.71B,"€112,797 - €194,402","['sql', 'r', 'python']"
Cientista de Dados,,Presencial,company_009,On-site,3 days ago,"Stamford, CT, US",Finanças,Privada,"1,800",Private,"€114,172 - €228,337",[]
Cientista de Dados,Líder,,company_013,"New York, NY",3 months ago,"New York, NY, US",Tecnologia,Privada,150,€2.16B,"€196,371 - €251,170","['scikit-learn', 'python', 'scala', 'sql', 'machine learning', 'tensorflow']"
Cientista de Dados,Júnior,,company_014,"Berkeley, CA",15 days ago,"Berkeley, CA, US",Educação,,"17,471",Education,"€51,330 - €70,144",[]
Engenheiro de Machine Learning,Sênior,Presencial,company_015,"Menlo Park, CA",9 days ago,"Menlo Park, CA, US",Tecnologia,Pública,900,Public,"€121,480 - €132,440",['machine learning']
Cientista de Dados,Sênior,Remoto,company_019,Fully Remote,6 days ago,"Boston, MA, US",Tecnologia,Privada,126,Private,"€207,331",[]
Cientista de Dados,Sênior,Presencial,company_021,On-site,a day ago,"San Francisco, CA, US",Tecnologia,Pública,"5,520",€61.06B,"€219,201",[]
