job_title,seniority_level,status,company,location,post_date,headquarter,industry,ownership,company_size,revenue,salary,skills,salario_min,salario_max,salario_avg,estado,pais,tem_python,tem_sql,tem_r,tem_machine_learning,tem_aws,tem_spark,tem_deep_learning,tem_scikit_learning,tem_tensorflow,tem_pytorch,tem_azure,tem_gcp,tem_tableau,tem_pandas,tem_git,tem_java,tem_powerbi,salario_predito
Cientista de Dados,Sênior,Híbrido,company_003,"Grapevine, TX . Hybrid",17 days ago,"Bentonville, AR, US",Varejo,Pública,€352.44B,Public,"€100,472 - €200,938","['spark', 'r', 'python', 'scala', 'machine learning', 'tensorflow']",100472.0,200938.0,150705.0,TX,US,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,127784.85516843444
Cientista de Dados,Líder,Híbrido,company_005,"Fort Worth, TX . Hybrid",15 days ago,"Detroit, MI, US",Manufatura,Pública,"155,030",€51.10B,"€118,733","['spark', 'r', 'python', 'sql', 'machine learning']",118733.0,118733.0,118733.0,TX,US,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,124272.16430758839
Cientista de Dados,Sênior,Presencial,company_007,"Austin, TX . Toronto, Ontario, Canada . Kirkland, WA . Orlando, FL . Edmonton, Alberta, Canada + 1 More",a month ago,"Redwood City, CA, US",Tecnologia,Pública,"25,930",€33.80B,"€94,987 - €159,559","['aws', 'git', 'python', 'docker', 'sql', 'machine learning', 'gcp', 'kubernetes', 'deep learning']",94987.0,159559.0,127273.0,,CA,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,123778.17013157698
Cientista de Dados,Sênior,Híbrido,company_008,"Chicago, IL . Scottsdale, AZ . Austin, TX . Hybrid",8 days ago,"San Jose, CA, US",Tecnologia,Pública,"34,690",€81.71B,"€112,797 - €194,402","['sql', 'r', 'python']",112797.0,194402.0,153599.5,IL,US,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139646.4975201182
Cientista de Dados,Não Informado,Presencial,company_009,On-site,3 days ago,"Stamford, CT, US",Finanças,Privada,"1,800",Private,"€114,172 - €228,337",[],114172.0,228337.0,171254.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159016.43200588587
Cientista de Dados,Líder,Não Informado,company_013,"New York, NY",3 months ago,"New York, NY, US",Tecnologia,Privada,150,€2.16B,"€196,371 - €251,170","['scikit-learn', 'python', 'scala', 'sql', 'machine learning', 'tensorflow']",196371.0,251170.0,223770.5,NY,US,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,191326.2421354586
Cientista de Dados,Júnior,Não Informado,company_014,"Berkeley, CA",15 days ago,"Berkeley, CA, US",Educação,,"17,471",Education,"€51,330 - €70,144",[],51330.0,70144.0,60737.0,CA,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86217.96633650362
Engenheiro de Machine Learning,Sênior,Presencial,company_015,"Menlo Park, CA",9 days ago,"Menlo Park, CA, US",Tecnologia,Pública,900,Public,"€121,480 - €132,440",['machine learning'],121480.0,132440.0,126960.0,CA,US,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,132294.7071269841
Cientista de Dados,Sênior,Remoto,company_019,Fully Remote,6 days ago,"Boston, MA, US",Tecnologia,Privada,126,Private,"€207,331",[],207331.0,207331.0,207331.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180611.98695995737
Cientista de Dados,Sênior,Presencial,company_021,On-site,a day ago,"San Francisco, CA, US",Tecnologia,Pública,"5,520",€61.06B,"€219,201",[],219201.0,219201.0,219201.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182601.51088836312
Cientista de Dados,Sênior,Não Informado,company_022,"Atlanta, GA",15 days ago,"Charlotte, NC, US",Tecnologia,Pública,"103,010",€128.13B,"€96,815","['pytorch', 'r', 'python', 'sql', 'machine learning', 'keras', 'deep learning', 'tensorflow']",96815.0,96815.0,96815.0,GA,US,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,117820.98084288416
Cientista de Dados,Pleno,Não Informado,company_027,Greater Vancouver Metropolitan Area,6 days ago,"Vancouver, BC, CA",Educação,,240,Education,"€62,697 - €89,293","['java', 'git', 'python']",62697.0,89293.0,75995.0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,70563.71373459706
Cientista de Dados,Sênior,Remoto,company_029,"Minneapolis, MN . Fully Remote",8 days ago,"Golden Valley, MN, US",Manufatura,Pública,"21,030",€43.18B,"€99,464 - €165,954","['sql', 'machine learning', 'python']",99464.0,165954.0,132709.0,MN,US,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,123286.51374433287
Cientista de Dados,Sênior,Presencial,company_031,"Titusville, NJ . Titusville, New Jersey, United States",19 days ago,"New Brunswick, NJ, US",Saúde,Pública,"128,890",€413.02B,"€112,343 - €117,823","['sql', 'machine learning', 'r', 'python']",112343.0,117823.0,115083.0,NJ,US,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,133308.30391902346
Cientista de Dados,Sênior,Presencial,company_034,"Arlington, VA",a month ago,"Baltimore, MD, US",Tecnologia,Privada,45,Private,"€127,867 - €150,700","['pandas', 'powerbi', 'python', 'java', 'sql', 'machine learning', 'tableau']",127867.0,150700.0,139283.5,VA,US,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,145214.39195117806
Cientista de Dados,Sênior,Remoto,company_037,Fully Remote,14 days ago,"San Francisco, CA, US",Finanças,Privada,300,Private,"€134,266",[],134266.0,134266.0,134266.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163524.5674294678
Cientista de Dados,Líder,Não Informado,company_038,"Bengaluru, Karnataka, India",6 days ago,"Kista, SE",Tecnologia,Pública,"132,000",€17.41B,"€52,746","['spark', 'aws', 'r', 'python', 'machine learning', 'gcp', 'deep learning', 'hadoop', 'azure']",52746.0,52746.0,52746.0,,IN,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,42970.152484035716
Cientista de Dados,Líder,Presencial,company_039,"Charlotte, NC . On-site",8 days ago,"San Francisco, CA, US",Finanças,Pública,"257,150",€163.38B,"€126,956 - €198,196","['aws', 'r', 'python', 'sql', 'machine learning', 'azure', 'tableau']",126956.0,198196.0,162576.0,NC,US,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,147646.28837388902
Cientista de Dados,Sênior,Remoto,company_040,Fully Remote,13 days ago,"San Francisco, CA, US",Educação,Privada,130,€1.29B,"€185,412 - €228,338",[],185412.0,228338.0,206875.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177677.5349111095
Engenheiro de Machine Learning,Júnior,Não Informado,company_041,"Basel, Basel, Switzerland",19 days ago,"BS, CH",Saúde,Pública,"93,580",€247.18B,"€80,123","['pytorch', 'python', 'machine learning', 'deep learning', 'tensorflow']",80123.0,80123.0,80123.0,,CH,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,77021.63544288086
Cientista de Dados,Sênior,Presencial,company_043,"Toronto, Ontario, Canada . On-site",8 days ago,"Toronto, ON, CA",Finanças,Pública,"44,010",Public,"€72,611","['pytorch', 'spark', 'git', 'r', 'python', 'sql', 'machine learning', 'tensorflow']",72611.0,72611.0,72611.0,,CA,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,82639.24023399675
Cientista de Dados,Sênior,Presencial,company_044,"Findlay, OH . Denver, CO . San Antonio, TX",8 days ago,"Findlay, OH, US",Energia,Pública,"11,610",€51.40B,"€95,265 - €164,221","['pytorch', 'scikit-learn', 'python', 'machine learning', 'deep learning', 'tensorflow']",95265.0,164221.0,129743.0,OH,US,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,136733.95047528757
Cientista de Dados,Sênior,Presencial,company_045,"Toronto, Ontario, Canada",6 days ago,"Toronto, ON, CA",Tecnologia,Privada,300,Private,"€85,044","['airflow', 'spark', 'machine learning', 'python']",85044.0,85044.0,85044.0,,CA,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,82791.96383587117
Cientista de Dados,Sênior,Não Informado,company_046,"San Francisco, CA",3 months ago,"San Francisco, CA, US",Tecnologia,Privada,100,€913.33M,"€146,141 - €210,074",[],146141.0,210074.0,178107.5,CA,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155203.61035695538
Cientista de Dados,Líder,Não Informado,company_047,"Bengaluru, Karnataka, India",a month ago,"Bengaluru, KA, IN",Tecnologia,Pública,"222,070",€24.36B,"€10,049","['deep learning', 'machine learning']",10049.0,10049.0,10049.0,,IN,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,12475.755005262277
Cientista de Dados,Não Informado,Remoto,company_048,"Remote, US . Fully Remote",3 months ago,"San Francisco, CA, US",Tecnologia,Privada,340,€1.49B,"€91,335 - €109,601",[],91335.0,109601.0,100468.0,US,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136252.96346234353
Cientista de Dados,Sênior,Não Informado,company_049,"Huntsville, AL . Merritt Island, FL . Seattle, WA",15 days ago,"Kent, WA, US",Tecnologia,Privada,"3,780",Private,"€125,171 - €175,240","['aws', 'git', 'r', 'python', 'docker', 'machine learning', 'kubernetes', 'deep learning', 'azure']",125171.0,175240.0,150205.5,AL,US,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,126037.32237721575
Cientista de Dados,Sênior,Não Informado,company_050,"San Francisco, CA",8 days ago,"San Francisco, CA, US",Educação,Privada,807,€3.45B,"€150,707","['sql', 'machine learning', 'r', 'python']",150707.0,150707.0,150707.0,CA,US,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,158892.30428903262
Cientista de Dados,Sênior,Presencial,company_051,"Laurel, MD",a month ago,"Laurel, MD, US",Tecnologia,,"8,010",Education,"€210,071",['python'],210071.0,210071.0,210071.0,MD,US,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166221.55932857236
Engenheiro de Machine Learning,Sênior,Não Informado,company_052,"Amsterdam, North Holland, Netherlands",a month ago,"San Francisco, CA, US",Tecnologia,Pública,"26,950",€53.20B,"€72,515","['sql', 'machine learning', 'python']",72515.0,72515.0,72515.0,,NL,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,68649.23232509293
Cientista de Dados,Líder,Presencial,company_054,"Richmond, VA . On-site",7 days ago,"Washington, DC, US",Tecnologia,Pública,"4,820",€29.92B,"€112,288","['machine learning', 'python']",112288.0,112288.0,112288.0,VA,US,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,201720.04024729435
Cientista de Dados,Líder,Híbrido,company_057,"Seattle, WA . Hybrid",25 days ago,"Seattle, WA, US",Varejo,Pública,"157,200",Public,"€132,437","['r', 'python', 'sql', 'machine learning', 'tableau']",132437.0,132437.0,132437.0,WA,US,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,170572.40104189314
Cientista de Dados,Sênior,Híbrido,company_061,"Manchester, England, United Kingdom . Hybrid",15 days ago,"Manchester, GB",Tecnologia,Pública,"1,320",Public,"€45,669 - €63,936","['spark', 'python', 'airflow', 'sql', 'machine learning']",45669.0,63936.0,54802.5,,UK,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,65763.02577000322
Cientista de Dados,Sênior,Presencial,company_054,"Richmond, VA . On-site",7 days ago,"Washington, DC, US",Tecnologia,Pública,"4,780",€30.07B,"€112,291","['machine learning', 'python']",112291.0,112291.0,112291.0,VA,US,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,144623.0829741839
Não Informado,Pleno,Não Informado,company_064,"Barcelona, Catalonia, Spain",7 days ago,"Barcelona, CT, ES",Tecnologia,,900,Nonprofit,"€28,068","['git', 'r', 'python', 'linux', 'bash']",28068.0,28068.0,28068.0,,ES,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37305.97555261274
Cientista de Dados,Sênior,Presencial,company_065,"Toronto, Ontario, Canada",3 days ago,"Cherry Hill, NJ, US",Tecnologia,Privada,"26,070",Private,"€83,298 - €124,946","['pandas', 'numpy', 'scikit-learn', 'python', 'sql', 'azure', 'tableau']",83298.0,124946.0,104122.0,,CA,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,92789.26414056846
